iter	Passed	Remaining
233	1912	6259
234	1918	6246
235	1929	6246
236	1936	6233
237	1941	6215
238	1947	6202
239	1954	6188
240	1963	6184
241	1972	6177
242	1979	6167
243	1985	6152
244	1997	6156
245	2005	6145
246	2011	6131
247	2017	6116
248	2022	6101
249	2029	6087
250	2034	6071
251	2040	6056
252	2050	6054
253	2058	6045
254	2065	6033
255	2072	6022
256	2079	6011
257	2085	5998
258	2092	5986
259	2098	5973
260	2104	5957
261	2110	5945
262	2115	5929
263	2121	5915
264	2132	5913
265	2140	5905
266	2147	5895
267	2152	5879
268	2158	5865
269	2164	5850
270	2169	5835
271	2174	5820
272	2180	5806
273	2186	5793
274	2196	5791
275	2203	5780
276	2210	5768
277	2214	5752
278	2220	5738
279	2225	5723
280	2237	5725
281	2245	5718
282	2254	5711
283	2265	5711
284	2271	5699
285	2277	5686
286	2283	5671
287	2289	5660
288	2296	5650
289	2310	5656
290	2319	5650
291	2329	5647
292	2341	5649
293	2347	5638
294	2355	5630
295	2362	5619
296	2369	5608
297	2379	5605
298	2390	5605
299	2400	5601
300	2411	5599
301	2422	5599
302	2434	5601
303	2443	5594
304	2458	5601
305	2467	5596
306	2479	5597
307	2489	5592
308	2500	5592
309	2512	5592
310	2521	5585
311	2534	5589
312	2544	5584
313	2551	5575
314	2560	5567
315	2578	5582
316	2591	5583
317	2604	5586
318	2638	5632
319	2652	5637
320	2673	5656
321	2685	5655
322	2698	5656
323	2708	5650
324	2721	5652
325	2742	5669
326	2764	5689
327	2772	5679
328	2778	5666
329	2784	5652
330	2790	5640
331	2801	5636
332	2811	5630
333	2820	5623
334	2830	5618
335	2842	5616
336	2850	5608
337	2857	5596
338	2870	5597
339	2884	5599
340	2898	5601
341	2905	5591
342	2928	5609
343	2949	5624
344	2965	5630
345	2980	5634
346	2990	5627
347	3006	5632
348	3021	5635
349	3038	5643
350	3049	5638
351	3062	5637
352	3070	5627
353	3083	5626
354	3090	5614
355	3099	5607
356	3108	5598
357	3115	5586
358	3128	5585
359	3136	5576
360	3148	5572
361	3156	5563
362	3166	5556
363	3183	5561
364	3193	5556
365	3202	5547
366	3210	5537
367	3217	5525
368	3225	5516
369	3233	5506
370	3243	5499
371	3251	5489
372	3260	5480
373	3267	5468
374	3276	5460
375	3286	5453
376	3300	5453
377	3321	5465
378	3335	5465
379	3350	5466
380	3358	5456
381	3366	5445
382	3373	5434
383	3379	5421
384	3388	5413
385	3396	5402
386	3404	5392
387	3414	5385
388	3423	5377
389	3430	5365
390	3439	5356
391	3445	5343
392	3453	5334
393	3459	5320
394	3466	5309
395	3475	5300
396	3483	5291
397	3491	5280
398	3500	5273
399	3517	5275
400	3535	5280
401	3543	5270
402	3556	5268
403	3568	5264
404	3575	5252
405	3581	5240
406	3588	5228
407	3593	5214
408	3607	5212
409	3615	5202
410	3626	5196
411	3637	5190
412	3643	5178
413	3651	5167
414	3656	5154
